word	nodeType	synsetCount	unit
front	ADJ	13	ferris
substantial	ADJ	5	ferris
flattered	ADJ	1	ferris
few	ADJ	2	ferris
last	ADJ	21	ferris
willing	ADJ	6	ferris
little	ADJ	10	ferris
little	ADJ	10	ferris
proud	ADJ	2	ferris
black	ADJ	22	ferris
good	ADJ	27	ferris
interesting	ADJ	4	ferris
other	ADJ	4	ferris
ferris	ADJ	0	ferris
curious	ADJ	3	ferris
cute	ADJ	2	ferris
cute	ADJ	2	ferris
fun	ADJ	4	ferris
puzzled	ADJ	3	ferris
male	ADJ	6	ferris
weird	ADJ	3	ferris
nice	ADJ	6	ferris
well	ADJ	22	ferris
cute	ADJ	2	ferris
alone	ADJ	6	ferris
protective	ADJ	3	ferris
bloody	ADJ	4	ferris
quick	ADJ	8	ferris
scorching	ADJ	7	ferris
frightening	ADJ	4	ferris
black	ADJ	22	ferris
top	ADJ	22	ferris
black	ADJ	22	ferris
stunning	ADJ	7	ferris
last	ADJ	21	ferris
next	ADJ	4	ferris
enough	ADJ	3	ferris
quick	ADJ	8	ferris
funny	ADJ	5	ferris
many	ADJ	1	ferris
many	ADJ	1	ferris
light	ADJ	47	ferris
thundering	ADJ	6	ferris
genuine	ADJ	3	ferris
okay	ADJ	4	ferris
mindless	ADJ	5	ferris
vacant	ADJ	2	ferris
okay	ADJ	4	ferris
wrong	ADJ	13	ferris
okay	ADJ	4	ferris
old	ADJ	9	ferris
fixable	ADJ	0	ferris
angry	ADJ	3	ferris
sorry	ADJ	4	ferris
last	ADJ	21	ferris
few	ADJ	2	ferris
front	ADJ	13	ferris
open	ADJ	36	ferris
open	ADJ	36	ferris
slack	ADJ	17	ferris
young	ADJ	14	ferris
floral	ADJ	3	ferris
more	ADJ	5	ferris
sexy	ADJ	2	ferris
well	ADJ	22	ferris
different	ADJ	5	ferris
top	ADJ	22	ferris
few	ADJ	2	ferris
more	ADJ	5	ferris
deep	ADJ	21	ferris
jammed	ADJ	8	ferris
silent	ADJ	6	ferris
empty	ADJ	10	ferris
skinny	ADJ	5	ferris
myopic	ADJ	2	ferris
real	ADJ	13	ferris
soft	ADJ	20	ferris
warm	ADJ	13	ferris
rotund	ADJ	3	ferris
quiet	ADJ	13	ferris
real	ADJ	13	ferris
little	ADJ	10	ferris
good	ADJ	27	ferris
other	ADJ	4	ferris
other	ADJ	4	ferris
